PG.ProteinGroups,R.FileName,protein_intensity,R.Condition,R.Replicate,intensity_rank,raw_protein_intensity
H9L438,E1_250721_25...E012_sample_22,10299.796262700856,EM9661,4,2069,9052.84515789797
H9L438,E1_250721_25...E012_sample_05,11661.46580329545,EM9662,1,1971,10841.8324379689
H9L438,E1_250721_25...E012_sample_11,10814.338199914502,EM9662,2,2033,10386.7277632933
H9L438,E1_250721_25...E012_sample_17,9830.14519692884,EM9662,3,2079,9358.64440056996
H9L438,E1_250721_25...E012_sample_23,9784.816862979611,EM9662,4,2108,9133.86635137539
H9L438,E1_250721_25...E012_sample_01,8256.679780084023,TH9677,1,2190,8768.25872735432
H9L438,E1_250721_25...E012_sample_07,8389.628779281486,TH9677,2,2184,8175.26320143452
H9L438,E1_250721_25...E012_sample_13,8198.10026680313,TH9677,3,2253,8412.38534654733
H9L438,E1_250721_25...E012_sample_19,8966.421911023665,TH9677,4,2212,9263.09233968362
H9L440,E1_250721_25...E012_sample_06,23078.627759905397,EM16223,1,1453,21909.4502156493
H9L440,E1_250721_25...E012_sample_12,23211.402667692386,EM16223,2,1446,21105.8509181853
H9L440,E1_250721_25...E012_sample_18,23516.935900759694,EM16223,3,1431,22428.3897538662
H9L440,E1_250721_25...E012_sample_24,20083.027729474295,EM16223,4,1558,20381.5778934956
H9L440,E1_250721_25...E012_sample_02,23078.061135455733,EM8513,1,1459,25321.2694176468
H9L440,E1_250721_25...E012_sample_08,21117.076855301813,EM8513,2,1528,23010.1713483364
H9L440,E1_250721_25...E012_sample_14,21923.3639891927,EM8513,3,1499,26269.3610393235
H9L440,E1_250721_25...E012_sample_20,17908.56115125378,EM8513,4,1726,18834.1173629427
H9L440,E1_250721_25...E012_sample_03,18078.090134335245,EM9660,1,1666,18323.9454670892
H9L440,E1_250721_25...E012_sample_09,15725.78014417464,EM9660,2,1771,16625.9176774163
H9L440,E1_250721_25...E012_sample_15,15759.671342526912,EM9660,3,1783,16723.7330814584
H9L440,E1_250721_25...E012_sample_21,14545.546071007419,EM9660,4,1842,15872.4928573765
H9L440,E1_250721_25...E012_sample_04,18766.54724627237,EM9661,1,1620,17650.2788165051
H9L440,E1_250721_25...E012_sample_10,15971.68153234311,EM9661,2,1724,15172.5769405059
H9L440,E1_250721_25...E012_sample_16,18410.810079152103,EM9661,3,1643,17737.1428058624
H9L440,E1_250721_25...E012_sample_22,21381.565233948462,EM9661,4,1512,18792.993022337
H9L440,E1_250721_25...E012_sample_05,19031.42453485756,EM9662,1,1602,17693.7890436095
H9L440,E1_250721_25...E012_sample_11,13755.1675152707,EM9662,2,1859,13211.2735590923
H9L440,E1_250721_25...E012_sample_17,19305.517485215525,EM9662,3,1588,18379.5324986211
H9L440,E1_250721_25...E012_sample_23,18611.151671413125,EM9662,4,1622,17373.015192039
H9L440,E1_250721_25...E012_sample_01,23084.286411713947,TH9677,1,1435,24514.5750090114
H9L440,E1_250721_25...E012_sample_07,28755.68939605052,TH9677,2,1259,28020.9453285901
H9L440,E1_250721_25...E012_sample_13,26617.847512562985,TH9677,3,1331,27313.5949895663
H9L440,E1_250721_25...E012_sample_19,21038.11969846477,TH9677,4,1521,21734.2042739039
H9L441;Q8ZMY1,E1_250721_25...E012_sample_06,12376.180082942667,EM16223,1,1978,11749.1951518115
H9L441;Q8ZMY1,E1_250721_25...E012_sample_12,18402.421241434655,EM16223,2,1621,16733.1016059608
H9L441;Q8ZMY1,E1_250721_25...E012_sample_18,16405.772211892094,EM16223,3,1733,15646.3858614156
H9L441;Q8ZMY1,E1_250721_25...E012_sample_24,16229.01723644973,EM16223,4,1733,16470.2744723164
H9L441;Q8ZMY1,E1_250721_25...E012_sample_02,22375.718515073273,EM8513,1,1484,24550.6584633809
H9L441;Q8ZMY1,E1_250721_25...E012_sample_08,16741.59043100492,EM8513,2,1727,18242.4332259971
H9L441;Q8ZMY1,E1_250721_25...E012_sample_14,18124.18627839023,EM8513,3,1669,21717.0500442217
H9L441;Q8ZMY1,E1_250721_25...E012_sample_20,9311.280934680544,EM8513,4,2270,9792.50965177772
H9L441;Q8ZMY1,E1_250721_25...E012_sample_03,20814.6654509021,EM9660,1,1532,21097.7371947958
H9L441;Q8ZMY1,E1_250721_25...E012_sample_09,20479.73972017342,EM9660,2,1553,21651.992048779
H9L441;Q8ZMY1,E1_250721_25...E012_sample_15,18172.677818999677,EM9660,3,1659,19284.3496932697
H9L441;Q8ZMY1,E1_250721_25...E012_sample_21,13292.354687473475,EM9660,4,1909,14504.9765615314
H9L441;Q8ZMY1,E1_250721_25...E012_sample_04,19326.75218471171,EM9661,1,1599,18177.1617443064
H9L441;Q8ZMY1,E1_250721_25...E012_sample_10,16776.380856467003,EM9661,2,1688,15937.0150733674
H9L441;Q8ZMY1,E1_250721_25...E012_sample_16,23614.442865262055,EM9661,3,1429,22750.3702216954
